City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
0,Mountain Home,US,2020-01-06 04:41:06,43.13,-115.69,33.8,80,40,8.61,scattered clouds,0.0,0.0
1,Jamestown,AU,2020-01-06 04:36:37,-33.21,138.6,75.81,49,84,6.93,broken clouds,0.0,0.0
2,Touros,BR,2020-01-06 04:37:03,-5.2,-35.46,78.8,83,40,3.36,scattered clouds,0.0,0.0
3,Khandyga,RU,2020-01-06 04:39:41,62.65,135.58,-2.34,97,100,3.78,light snow,0.0,0.25
4,Gigmoto,PH,2020-01-06 04:38:13,13.78,124.39,80.29,81,85,21.88,light rain,2.87,0.0
5,Vostok,RU,2020-01-06 04:38:45,46.45,135.83,10.69,89,20,2.55,few clouds,0.0,0.0
6,Yellowknife,CA,2020-01-06 04:35:49,62.45,-114.38,-18.0,75,5,6.93,clear sky,0.0,0.0
7,Leiyang,CN,2020-01-06 04:43:49,26.42,112.85,79.07,46,17,10.18,few clouds,0.0,0.0
8,Cape Town,ZA,2020-01-06 04:32:44,-33.93,18.42,64.0,72,20,8.05,few clouds,0.0,0.0
9,Cabedelo,BR,2020-01-06 04:43:49,-6.97,-34.84,78.8,83,20,3.36,few clouds,0.0,0.0
10,Rikitea,PF,2020-01-06 04:36:30,-23.12,-134.97,76.26,75,32,15.14,scattered clouds,0.0,0.0
11,Saint-Philippe,CA,2020-01-06 04:37:16,45.36,-73.48,19.99,78,1,4.7,clear sky,0.0,0.0
12,Ribeira Grande,PT,2020-01-06 04:36:44,38.52,-28.7,59.68,93,100,15.46,overcast clouds,0.0,0.0
13,Lorengau,PG,2020-01-06 04:38:34,-2.02,147.27,85.55,70,70,9.06,broken clouds,0.0,0.0
14,Lebu,ET,2020-01-06 04:33:59,8.96,38.73,53.6,76,20,8.05,few clouds,0.0,0.0
15,Ushuaia,AR,2020-01-06 04:36:36,-54.81,-68.31,46.4,65,40,23.04,shower rain,0.0,0.0
16,Norman Wells,CA,2020-01-06 04:37:21,65.28,-126.83,-38.2,65,20,4.18,few clouds,0.0,0.0
