City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Mountain Home,US,33.8,scattered clouds,43.13,-115.69,Mountain Home Inn
1,Jamestown,AU,75.81,broken clouds,-33.21,138.6,Jamestown Motel Terraces
2,Touros,BR,78.8,scattered clouds,-5.2,-35.46,INN NEW HORIZON
5,Vostok,RU,10.69,few clouds,46.45,135.83,
6,Yellowknife,CA,-18.0,clear sky,62.45,-114.38,The Explorer Hotel
7,Leiyang,CN,79.07,few clouds,26.42,112.85,Nanyue Chenghui Hotel
8,Cape Town,ZA,64.0,few clouds,-33.93,18.42,Southern Sun Waterfront Cape Town
9,Cabedelo,BR,78.8,few clouds,-6.97,-34.84,Lua Mansa Pousada
10,Rikitea,PF,76.26,scattered clouds,-23.12,-134.97,Pension Maro'i
11,Saint-Philippe,CA,19.99,clear sky,45.36,-73.48,Camping St-Andre
12,Ribeira Grande,PT,59.68,overcast clouds,38.52,-28.7,Quinta da Meia Eira
13,Lorengau,PG,85.55,broken clouds,-2.02,147.27,Lorengau Harbourside Hotel
14,Lebu,ET,53.6,few clouds,8.96,38.73,Dah-Lak Guest House
15,Ushuaia,AR,46.4,shower rain,-54.81,-68.31,Albatros Hotel
16,Norman Wells,CA,-38.2,few clouds,65.28,-126.83,Heritage Hotel
17,Hilo,US,73.4,broken clouds,19.71,-155.08,Hilo Seaside Hotel
18,Chalus,IR,42.8,few clouds,36.66,51.42,نظام مهندسي ساختمان چالوس
19,Weinan,CN,45.0,mist,34.5,109.46,Weinan Taoyuan Meisha International Hotel
20,Punta Arenas,CL,44.6,broken clouds,-53.16,-70.91,Hotel Dreams Del Estrecho
21,Busselton,AU,91.99,scattered clouds,-33.64,115.35,Observatory Guest House
22,Carnarvon,ZA,68.61,broken clouds,-30.97,22.13,Maritza Bed & Breakfast
23,Kapaa,US,78.8,broken clouds,22.08,-159.32,Sheraton Kauai Coconut Beach Resort
24,Chokurdakh,RU,-18.06,few clouds,70.62,147.9,
25,Cayenne,GF,75.2,broken clouds,4.94,-52.33,Hôtel Le Dronmi
26,Antalya,TR,51.8,thunderstorm with rain,36.9,30.69,Aspen Hotel
27,Pangnirtung,CA,-45.2,overcast clouds,66.15,-65.72,Kilabuk Lodge
28,Byron Bay,AU,89.6,broken clouds,-28.65,153.62,Backpackers Inn on the Beach
29,Sosnovo-Ozerskoye,RU,5.36,broken clouds,52.53,111.54,
30,Coquimbo,CL,60.8,clear sky,-29.95,-71.34,Hotel San Juan
32,Bethel,US,-18.4,clear sky,60.79,-161.76,Long House Hotel Bethel
33,Nikolskoye,RU,27.0,light shower snow,59.7,30.79,Tourist House - Sablino
34,Bambous Virieux,MU,75.99,light intensity shower rain,-20.34,57.76,Casa Tia Villa
36,Las Rosas,AR,65.3,broken clouds,-32.48,-61.58,Hotel El Portal
37,Tiksi,RU,-11.02,clear sky,71.64,128.87,Umka
38,Leningradskiy,RU,-8.73,clear sky,69.38,178.42,
39,Esperance,AU,95.0,clear sky,-33.86,121.89,Hospitality Esperance
40,Lincoln,GB,46.4,scattered clouds,53.23,-0.54,Holiday Inn Express Lincoln City Centre
41,Qaanaaq,GL,-19.77,broken clouds,77.48,-69.36,Qaanaaq Hotel
42,Bhinga,IN,63.66,clear sky,27.7,81.93,Pragya mobile
43,Sao Paulo De Olivenca,BR,72.97,broken clouds,-3.38,-68.87,
45,Gari,RU,17.02,overcast clouds,59.43,62.35,
46,Fairbanks,US,-16.01,overcast clouds,64.84,-147.72,Westmark Fairbanks Hotel & Conference Center
47,Cabo San Lucas,MX,69.01,overcast clouds,22.89,-109.91,Hotel Tesoro Los Cabos
48,Lagoa,PT,52.0,clear sky,37.14,-8.45,Agua Hotels Vale Da Lapa Lagoa
49,Port Blair,IN,82.4,scattered clouds,11.67,92.75,Fortune Resort Bay Island
52,Puerto Ayora,EC,75.99,clear sky,-0.74,-90.35,Finch Bay Galapagos Hotel
53,Karratha,AU,87.76,broken clouds,-20.74,116.85,ibis Styles Karratha
54,Sao Luiz Gonzaga,BR,71.82,clear sky,-28.41,-54.96,Xerife Hotel
55,Hermanus,ZA,63.0,overcast clouds,-34.42,19.24,Misty Waves Boutique Hotel
56,Mioveni,RO,27.27,scattered clouds,44.96,24.94,Grandis Apulum
57,Merauke,ID,79.03,overcast clouds,-8.49,140.4,Swiss-Belhotel Merauke
58,Bredasdorp,ZA,64.4,overcast clouds,-34.53,20.04,Bredasdorp Country Manor
59,Mar Del Plata,AR,54.63,scattered clouds,-46.43,-67.52,Hotel Costanera Del Sur
61,Luanda,AO,78.8,few clouds,-8.83,13.24,EPIC SANA Luanda
62,Ahuimanu,US,77.0,broken clouds,21.44,-157.84,Paradise Bay Resort
65,Sao Joao Da Barra,BR,75.54,broken clouds,-21.64,-41.05,Pousada Porto De Canoas
67,Sioux Lookout,CA,19.4,light snow,50.1,-91.92,Knobby's Fly-In Camps
68,Hobart,AU,77.0,few clouds,-42.88,147.33,St Ives Apartments
69,Arraial Do Cabo,BR,76.1,overcast clouds,-22.97,-42.02,Pousada Porto Praia
71,Port Alfred,ZA,69.01,overcast clouds,-33.59,26.89,The Halyards Hotel
73,Palmer,AU,79.0,clear sky,-34.85,139.16,Palmer Hotel
74,Port Elizabeth,US,36.0,broken clouds,39.31,-74.98,HAMMER RUN
75,Cobija,BR,71.29,overcast clouds,-11.02,-68.77,Hotel El Cristo
76,Mandalgovi,MN,12.94,broken clouds,45.76,106.27,Ганбат.В
77,Xinzhou,CN,26.98,overcast clouds,38.41,112.73,Shell Hotel - Xinzhou
78,Laela,TZ,69.46,overcast clouds,-8.57,32.05,
79,Port-Gentil,GA,82.09,overcast clouds,-0.72,8.78,Fengshui Residence
80,Laguna,BZ,73.4,broken clouds,16.17,-88.94,Laguna Maya Lodge
81,Wewak,PG,83.61,overcast clouds,-3.55,143.63,In Wewak Boutique Hotel
82,Provideniya,RU,-11.72,scattered clouds,64.42,-173.23,
83,Upernavik,GL,-30.66,overcast clouds,72.79,-56.15,Gina's Guesthouse - Upernavik
84,Tiznit,MA,46.24,clear sky,29.7,-9.73,Hotel Café Restaurant Assaka
86,San Patricio,PY,76.33,clear sky,-26.98,-56.83,"Granja ""La Blanca"""
87,Ngunguru,NZ,70.0,clear sky,-35.62,174.5,Pacific Rendezvous Motel Resort
89,Sal Rei,CV,68.0,haze,16.18,-22.92,Marine Club Beach Resort
90,Kavaratti,IN,84.2,few clouds,10.57,72.64,Hotels in Lakshadweep Islands
91,Saint George,GR,42.8,broken clouds,39.45,22.34,MX PARK KYPARISSOS
92,Jumla,NP,47.75,scattered clouds,29.28,82.18,Famous bhutuwa corner
94,Avarua,CK,80.6,overcast clouds,-21.21,-159.78,Paradise Inn
95,Katsuura,JP,50.0,broken clouds,33.93,134.5,喜楽の湯
96,Aksay,KZ,24.26,overcast clouds,51.17,53.01,Aksai Residence
98,Acapulco,MX,80.6,scattered clouds,16.86,-99.88,Crowne Plaza Acapulco
99,Torbay,CA,32.0,light snow,47.66,-52.73,See The Sea
100,Sao Filipe,CV,68.77,broken clouds,14.9,-24.5,Tortuga B&B
102,Praia Da Vitoria,PT,62.6,broken clouds,38.73,-27.07,Hotel Branco I
103,Pisco,PE,69.8,broken clouds,-13.71,-76.2,Hostal San Isidro Oficial
104,Dzerzhinsk,RU,25.0,broken clouds,56.24,43.46,Hotel Druzhba
105,Georgetown,GY,68.0,clear sky,6.8,-58.16,Kanhai's Center
107,Gijon,ES,41.0,clear sky,43.54,-5.66,Hotel Norte
110,Namibe,AO,73.13,broken clouds,-15.19,12.15,Chik-Chik Namibe
111,Vila Velha,BR,86.0,broken clouds,-3.71,-38.6,Hotel Iparana Paradise
112,New Norfolk,AU,73.99,few clouds,-42.78,147.06,The Shingles Riverside Cottages
113,Bluff,AU,87.49,overcast clouds,-23.58,149.07,Bluff Hotel
115,Port Moresby,PG,91.4,scattered clouds,-9.47,147.16,Lamana Hotel
117,Nemuro,JP,24.8,shower snow,43.32,145.57,Hotel Ekahashi / Vacation STAY 8604
118,Kruisfontein,ZA,68.54,overcast clouds,-34.0,24.73,Oyster Bay House Rental
119,San Quintin,PH,84.04,clear sky,17.54,120.52,San Quintin River Resort
120,Tuktoyaktuk,CA,-27.4,few clouds,69.44,-133.03,End of The Road Ltd.
121,Mahebourg,MU,75.99,light intensity shower rain,-20.41,57.7,Shandrani Beachcomber Resort & Spa
122,Djibo,BF,57.15,few clouds,14.1,-1.63,Centre Des Ressources DPENA
123,Qaqortoq,GL,21.2,light snow,60.72,-46.03,Hotel Qaqortoq
124,Tapes,BR,65.98,clear sky,-30.67,-51.4,Cabanas Camping Union
125,Airai,TL,80.74,overcast clouds,-8.93,125.41,Juvinal Martin
126,Orlik,PL,35.6,overcast clouds,53.95,17.74,Fsilkowo WCZASY
