City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Georgetown,GY,2020-01-05 22:34:15,6.8,-58.16,80.6,74,4,4.7
1,Khatanga,RU,2020-01-05 22:34:20,71.98,102.47,-8.39,97,100,6.38
2,Punta Arenas,CL,2020-01-05 22:31:00,-53.16,-70.91,53.6,54,40,26.4
3,Coihaique,CL,2020-01-05 22:34:21,-45.58,-72.07,57.2,66,75,4.7
4,Ushuaia,AR,2020-01-05 22:30:58,-54.81,-68.31,51.8,62,40,26.4
5,Lompoc,US,2020-01-05 22:34:21,34.64,-120.46,66.2,59,1,18.34
6,Codrington,AU,2020-01-05 22:34:21,-28.95,153.24,78.8,73,40,6.93
7,Tiksi,RU,2020-01-05 22:34:22,71.64,128.87,-13.4,86,17,13.22
8,Lebu,ET,2020-01-05 22:34:22,8.96,38.73,57.2,71,75,6.93
9,Port Lincoln,AU,2020-01-05 22:34:22,-34.72,135.86,66.04,62,78,9.44
10,Qaanaaq,GL,2020-01-05 22:34:22,77.48,-69.36,-27.0,47,0,1.23
11,Hobart,AU,2020-01-05 22:34:22,-42.88,147.33,69.01,51,40,4.7
12,Goure,NE,2020-01-05 22:34:23,13.98,10.27,64.0,28,23,8.01
13,Kruisfontein,ZA,2020-01-05 22:34:23,-34.0,24.73,63.18,87,100,3.76
14,Voinesti,RO,2020-01-05 22:34:23,47.07,27.42,34.0,100,90,12.75
15,Sao Filipe,CV,2020-01-05 22:34:23,14.9,-24.5,71.26,62,66,16.53
16,Butaritari,KI,2020-01-05 22:34:24,3.07,172.79,85.48,75,100,15.79
17,Hermanus,ZA,2020-01-05 22:34:24,-34.42,19.24,64.0,90,100,8.34
18,Yerbogachen,RU,2020-01-05 22:34:24,61.28,108.01,8.89,93,100,11.25
19,Cherskiy,RU,2020-01-05 22:34:24,68.75,161.3,-8.36,62,3,5.5
20,Rikitea,PF,2020-01-05 22:34:24,-23.12,-134.97,76.69,77,80,14.09
21,Yuzhno-Kurilsk,RU,2020-01-05 22:34:25,44.03,145.86,25.12,81,100,31.88
22,Fairbanks,US,2020-01-05 22:31:00,64.84,-147.72,-17.0,73,87,2.48
